method,route,function,framework,path
POST,/requests/{request_id}/cancel,,express,backend/app/api/services.py
POST,/requests/{request_id}/complete,complete_service_request,fastapi,backend/app/api/services.py
POST,/requests/{request_id}/complete,,express,backend/app/api/services.py
GET,/requests/{request_id}/deliverables,get_service_deliverables,fastapi,backend/app/api/services.py
GET,/requests/{request_id}/deliverables,,express,backend/app/api/services.py
POST,/requests/{request_id}/deliverables,create_service_deliverable,fastapi,backend/app/api/services.py
POST,/requests/{request_id}/deliverables,,express,backend/app/api/services.py
GET,/requests/{request_id}/logs,get_service_request_logs,fastapi,backend/app/api/services.py
GET,/requests/{request_id}/logs,,express,backend/app/api/services.py
POST,/requests/{request_id}/logs,create_service_request_log,fastapi,backend/app/api/services.py
POST,/requests/{request_id}/logs,,express,backend/app/api/services.py
POST,/requests/{request_id}/reject,reject_service_request,fastapi,backend/app/api/services.py
POST,/requests/{request_id}/reject,,express,backend/app/api/services.py
POST,/requests/{request_id}/submit,submit_service_request,fastapi,backend/app/api/services.py
POST,/requests/{request_id}/submit,,express,backend/app/api/services.py
POST,/reset,reset_branding_settings,fastapi,backend/app/api/branding.py
POST,/reset,,express,backend/app/api/branding.py
POST,/run-migrations,run_migrations,fastapi,backend/app/api/admin.py
POST,/run-migrations,,express,backend/app/api/admin.py
POST,/run-schedule-migration,run_schedule_migration,fastapi,backend/app/api/admin.py
POST,/run-schedule-migration,,express,backend/app/api/admin.py
GET,/scan-history,get_scan_history,fastapi,backend/app/api/crawl.py
GET,/scan-history,,express,backend/app/api/crawl.py
GET,/scheduler/status,get_scheduler_status_endpoint,fastapi,backend/app/api/crawl.py
GET,/scheduler/status,,express,backend/app/api/crawl.py
POST,/seed-services,seed_services_data,fastapi,backend/app/api/admin.py
POST,/seed-services,,express,backend/app/api/admin.py
GET,/sentiment-summary,get_sentiment_summary,fastapi,backend/app/api/dashboard.py
GET,/sentiment-summary,,express,backend/app/api/dashboard.py
GET,/service-catalog-status,get_service_catalog_status,fastapi,backend/app/api/admin.py
GET,/service-catalog-status,,express,backend/app/api/admin.py
GET,/sidebar-badges,get_sidebar_badges,fastapi,backend/app/api/dashboard.py
GET,/sidebar-badges,,express,backend/app/api/dashboard.py
POST,/start,start_monitoring,fastapi,backend/app/api/monitor.py
POST,/start,,express,backend/app/api/monitor.py
GET,/stats/summary,get_audit_stats,fastapi,backend/app/api/audit.py
GET,/stats/summary,,express,backend/app/api/audit.py
GET,/summary,get_competitors_summary,fastapi,backend/app/api/competitors.py
GET,/summary,,express,backend/app/api/competitors.py
GET,/summary,get_dashboard_summary,fastapi,backend/app/api/dashboard.py
GET,/summary,,express,backend/app/api/dashboard.py
GET,/summary,get_reports_summary,fastapi,backend/app/api/reports.py
GET,/summary,,express,backend/app/api/reports.py
POST,/test-feed,test_rss_feed,fastapi,backend/app/api/crawl.py
POST,/test-feed,,express,backend/app/api/crawl.py
GET,/trends,get_dashboard_trends,fastapi,backend/app/api/dashboard.py
GET,/trends,,express,backend/app/api/dashboard.py
GET,/users,list_users,fastapi,backend/app/api/users.py
GET,/users,,express,backend/app/api/users.py
POST,/users,create_user,fastapi,backend/app/api/users.py
POST,/users,,express,backend/app/api/users.py
POST,/users/assign,assign_role_to_user,fastapi,backend/app/api/roles.py
POST,/users/assign,,express,backend/app/api/roles.py
GET,/users/stats/summary,get_users_stats,fastapi,backend/app/api/users.py
GET,/users/stats/summary,,express,backend/app/api/users.py
DELETE,/users/{user_id},delete_user,fastapi,backend/app/api/users.py
DELETE,/users/{user_id},,express,backend/app/api/users.py
GET,/users/{user_id},get_user,fastapi,backend/app/api/users.py
GET,/users/{user_id},,express,backend/app/api/users.py
PUT,/users/{user_id},update_user,fastapi,backend/app/api/users.py
PUT,/users/{user_id},,express,backend/app/api/users.py
POST,/users/{user_id}/reset-password,reset_user_password,fastapi,backend/app/api/users.py
POST,/users/{user_id}/reset-password,,express,backend/app/api/users.py
GET,/users/{user_id}/roles,get_user_roles,fastapi,backend/app/api/roles.py
GET,/users/{user_id}/roles,,express,backend/app/api/roles.py
DELETE,/users/{user_id}/roles/{role_id},remove_role_from_user,fastapi,backend/app/api/roles.py
DELETE,/users/{user_id}/roles/{role_id},,express,backend/app/api/roles.py
POST,/users/{user_id}/toggle-active,toggle_user_active,fastapi,backend/app/api/users.py
POST,/users/{user_id}/toggle-active,,express,backend/app/api/users.py
GET,/worker-status,get_worker_status,fastapi,backend/app/api/crawl.py
GET,/worker-status,,express,backend/app/api/crawl.py
GET,/worker-status,get_worker_status,fastapi,backend/app/api/system.py
GET,/worker-status,,express,backend/app/api/system.py
DELETE,/{alert_id},delete_alert,fastapi,backend/app/api/alerts.py
DELETE,/{alert_id},,express,backend/app/api/alerts.py
GET,/{alert_id},get_alert,fastapi,backend/app/api/alerts.py
GET,/{alert_id},,express,backend/app/api/alerts.py
POST,/{alert_id}/acknowledge,acknowledge_alert,fastapi,backend/app/api/alerts.py
POST,/{alert_id}/acknowledge,,express,backend/app/api/alerts.py
POST,/{alert_id}/create-incident,create_incident_from_alert,fastapi,backend/app/api/alerts.py
POST,/{alert_id}/create-incident,,express,backend/app/api/alerts.py
POST,/{alert_id}/ignore,ignore_alert,fastapi,backend/app/api/alerts.py
POST,/{alert_id}/ignore,,express,backend/app/api/alerts.py
POST,/{alert_id}/resolve,resolve_alert,fastapi,backend/app/api/alerts.py
POST,/{alert_id}/resolve,,express,backend/app/api/alerts.py
DELETE,/{evidence_id},delete_evidence,fastapi,backend/app/api/evidence.py
DELETE,/{evidence_id},,express,backend/app/api/evidence.py
DELETE,/{incident_id},delete_incident,fastapi,backend/app/api/incidents.py
DELETE,/{incident_id},,express,backend/app/api/incidents.py
GET,/{incident_id},get_incident,fastapi,backend/app/api/incidents.py
GET,/{incident_id},,express,backend/app/api/incidents.py
POST,/{incident_id},create_evidence,fastapi,backend/app/api/evidence.py
POST,/{incident_id},,express,backend/app/api/evidence.py
PUT,/{incident_id},update_incident,fastapi,backend/app/api/incidents.py
PUT,/{incident_id},,express,backend/app/api/incidents.py
POST,/{incident_id}/close,close_incident,fastapi,backend/app/api/incidents.py
POST,/{incident_id}/close,,express,backend/app/api/incidents.py
GET,/{incident_id}/logs,get_incident_logs,fastapi,backend/app/api/incidents.py
GET,/{incident_id}/logs,,express,backend/app/api/incidents.py
POST,/{incident_id}/logs,add_incident_log,fastapi,backend/app/api/incidents.py
POST,/{incident_id}/logs,,express,backend/app/api/incidents.py
DELETE,/{key_id},revoke_api_key,fastapi,backend/app/api/api_keys.py
DELETE,/{key_id},,express,backend/app/api/api_keys.py
GET,/{key_id},get_api_key,fastapi,backend/app/api/api_keys.py
GET,/{key_id},,express,backend/app/api/api_keys.py
PUT,/{key_id},update_api_key,fastapi,backend/app/api/api_keys.py
PUT,/{key_id},,express,backend/app/api/api_keys.py
POST,/{key_id}/activate,activate_api_key,fastapi,backend/app/api/api_keys.py
POST,/{key_id}/activate,,express,backend/app/api/api_keys.py
POST,/{key_id}/deactivate,deactivate_api_key,fastapi,backend/app/api/api_keys.py
POST,/{key_id}/deactivate,,express,backend/app/api/api_keys.py
DELETE,/{keyword_id},delete_keyword,fastapi,backend/app/api/keywords.py
DELETE,/{keyword_id},,express,backend/app/api/keywords.py
GET,/{keyword_id},get_keyword,fastapi,backend/app/api/keywords.py
GET,/{keyword_id},,express,backend/app/api/keywords.py
PUT,/{keyword_id},update_keyword,fastapi,backend/app/api/keywords.py
PUT,/{keyword_id},,express,backend/app/api/keywords.py
GET,/{log_id},get_audit_log,fastapi,backend/app/api/audit.py
GET,/{log_id},,express,backend/app/api/audit.py
DELETE,/{mention_id},delete_mention,fastapi,backend/app/api/mentions.py
DELETE,/{mention_id},,express,backend/app/api/mentions.py
GET,/{mention_id},get_mention,fastapi,backend/app/api/mentions.py
GET,/{mention_id},,express,backend/app/api/mentions.py
POST,/{mention_id}/analyze,analyze_mention,fastapi,backend/app/api/mentions.py
POST,/{mention_id}/analyze,,express,backend/app/api/mentions.py
POST,/{mention_id}/create-alert,create_alert_from_mention,fastapi,backend/app/api/mentions.py
POST,/{mention_id}/create-alert,,express,backend/app/api/mentions.py
POST,/{mention_id}/create-incident,create_incident_from_mention,fastapi,backend/app/api/mentions.py
POST,/{mention_id}/create-incident,,express,backend/app/api/mentions.py
POST,/{mention_id}/mark-reviewed,mark_mention_reviewed,fastapi,backend/app/api/mentions.py
POST,/{mention_id}/mark-reviewed,,express,backend/app/api/mentions.py
DELETE,/{report_id},delete_report,fastapi,backend/app/api/reports.py
DELETE,/{report_id},,express,backend/app/api/reports.py
GET,/{report_id},get_report,fastapi,backend/app/api/reports.py
GET,/{report_id},,express,backend/app/api/reports.py
GET,/{request_id},get_service_request,fastapi,backend/app/api/service_requests.py
GET,/{request_id},,express,backend/app/api/service_requests.py
PUT,/{request_id},update_service_request,fastapi,backend/app/api/service_requests.py
PUT,/{request_id},,express,backend/app/api/service_requests.py
POST,/{request_id}/approve,approve_service_request,fastapi,backend/app/api/service_requests.py
